"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Aug-2020","     9029.60","     9029.80","     8925.05","     8932.05","     2139060424","        55243.61"
"04-Aug-2020","     8980.55","     9085.75","     8951.00","     9074.95","     1877931258","        54928.16"
"05-Aug-2020","     9126.65","     9175.45","     9060.80","     9088.75","     2032470879","        57081.53"
"06-Aug-2020","     9150.15","     9205.10","     9115.75","     9169.10","     1905172327","        54572.49"
"07-Aug-2020","     9170.05","     9211.75","     9142.30","     9198.65","     2334527570","        53564.34"
"10-Aug-2020","     9257.20","     9308.75","     9241.50","     9268.55","     2076871976","        56646.31"
"11-Aug-2020","     9315.15","     9346.90","     9283.00","     9291.00","     2023060444","        54182.67"
"12-Aug-2020","     9269.15","     9294.90","     9229.20","     9284.80","     2142381903","        51797.28"
"13-Aug-2020","     9314.95","     9339.20","     9280.30","     9307.85","     2339287272","        53861.28"
"14-Aug-2020","     9350.65","     9365.85","     9157.65","     9214.40","     2466598785","        60488.50"
"17-Aug-2020","     9278.85","     9281.95","     9184.25","     9267.90","     1752057939","        47449.09"
"18-Aug-2020","     9286.10","     9392.75","     9282.10","     9382.05","     1901523426","        49057.27"
"19-Aug-2020","     9436.95","     9449.15","     9402.25","     9412.55","     2285969076","        51903.28"
"20-Aug-2020","     9347.90","     9398.60","     9325.05","     9368.75","     2506729364","        51216.93"
"21-Aug-2020","     9451.20","     9465.05","     9415.65","     9423.55","     2430585395","        51258.11"
"24-Aug-2020","     9466.80","     9523.40","     9465.70","     9498.35","     2314342622","        51429.92"
"25-Aug-2020","     9545.60","     9556.50","     9469.20","     9509.25","     2115985346","        54359.20"
"26-Aug-2020","     9547.05","     9575.20","     9508.00","     9567.15","     2107106450","        58199.44"
"27-Aug-2020","     9619.60","     9625.65","     9568.80","     9580.70","     2350010846","        58477.53"
"28-Aug-2020","     9623.00","     9675.90","     9614.75","     9641.05","     4071389917","        68906.63"
