"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"07-Jun-1999","      786.70","      799.40","      782.60","      787.15","       62492007","         1511.29"
"08-Jun-1999","      787.15","      808.60","      775.30","      800.05","       80540110","         2014.23"
"09-Jun-1999","      800.50","      805.40","      792.45","      793.40","       82336368","         1861.43"
"10-Jun-1999","      793.45","      802.25","      793.45","      795.85","       64217129","         1617.59"
"11-Jun-1999","      795.90","      796.00","      781.60","      782.40","       60709171","         1543.87"
"14-Jun-1999","      782.15","      782.15","      757.00","      769.55","       57065653","         1311.76"
"15-Jun-1999","      769.55","      777.95","      759.45","      761.10","       78030554","         1875.56"
"16-Jun-1999","      761.10","      779.95","      757.00","      778.10","       84163105","         2032.29"
"17-Jun-1999","      778.25","      795.25","      778.25","      792.20","       74835627","         1968.83"
"18-Jun-1999","      793.10","      799.05","      789.35","      790.45","       65776521","         1519.16"
"21-Jun-1999","      790.60","      808.25","      790.60","      807.90","       69564343","         1645.04"
"22-Jun-1999","      807.90","      817.40","      806.00","      816.85","       79312399","         2170.00"
"23-Jun-1999","      816.90","      823.25","      805.35","      805.75","       77615737","         2198.81"
"24-Jun-1999","      805.80","      805.95","      794.75","      799.35","       64868172","         1920.11"
"25-Jun-1999","      799.50","      810.10","      796.20","      798.50","       68593803","         1736.87"
"28-Jun-1999","      798.95","      809.40","      798.95","      807.95","       54899107","         1474.88"
"29-Jun-1999","      808.00","      812.45","      804.25","      807.75","       67194328","         1635.96"
"30-Jun-1999","      807.80","      809.55","      802.25","      806.10","       60800292","         1416.52"
"01-Jul-1999","      806.45","      812.90","      800.75","      804.05","       56861757","         1353.83"
"02-Jul-1999","      804.15","      815.00","      804.05","      811.65","       78438209","         1734.65"
"05-Jul-1999","      811.70","      833.85","      811.70","      833.25","       87315335","         2108.40"
"06-Jul-1999","      833.25","      843.45","      833.25","      842.70","       82816586","         2028.74"
"07-Jul-1999","      842.75","      855.00","      842.75","      845.55","      103822730","         2281.68"
"08-Jul-1999","      845.95","      850.50","      842.65","      845.35","       93382445","         2033.79"
"09-Jul-1999","      845.40","      859.30","      845.40","      856.25","      115246710","         2395.93"
"12-Jul-1999","      856.25","      899.75","      856.25","      898.30","      125330654","         2859.19"
"13-Jul-1999","      898.75","      912.85","      896.25","      899.80","      129762486","         2826.96"
"14-Jul-1999","      899.85","      914.60","      894.60","      914.50","      111769869","         2544.31"
"15-Jul-1999","      915.00","      929.45","      892.05","      896.50","      109986762","         2929.86"
"16-Jul-1999","      896.80","      905.40","      891.25","      903.85","       84680297","         2395.09"
"19-Jul-1999","      904.35","      926.30","      904.35","      921.45","       87701238","         2575.74"
"20-Jul-1999","      921.45","      921.45","      892.80","      900.40","       95128624","         2662.10"
"21-Jul-1999","      900.40","      921.40","      892.50","      917.65","       80172818","         2606.71"
"22-Jul-1999","      916.70","      932.25","      916.70","      924.55","       81002861","         2537.29"
"23-Jul-1999","      924.55","      931.45","      916.10","      917.15","       75482769","         2492.59"
"26-Jul-1999","      917.30","      917.35","      904.95","      909.65","       63767458","         2299.32"
