"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2018","     8949.45","     9030.70","     8933.45","     9023.60","-","-"
"03-Apr-2018","     9004.90","     9082.05","     8997.70","     9074.85","-","-"
"04-Apr-2018","     9105.50","     9120.10","     8962.45","     8975.60","     1468147076","        28723.56"
"05-Apr-2018","     9069.05","     9150.85","     9068.40","     9146.15","     1303779455","        26406.14"
"06-Apr-2018","     9148.45","     9183.45","     9116.55","     9172.05","     1337000561","        25407.73"
"09-Apr-2018","     9179.20","     9223.35","     9175.90","     9205.20","-","-"
"10-Apr-2018","     9237.80","     9246.45","     9199.20","     9219.15","     1122742906","        24953.08"
"11-Apr-2018","     9242.30","     9242.30","     9179.85","     9230.85","     1147359720","        26071.61"
"12-Apr-2018","     9226.45","     9263.35","     9210.25","     9247.25","     1099927441","        25979.29"
"13-Apr-2018","     9276.65","     9304.10","     9240.70","     9267.65","     1022184534","        26186.19"
"16-Apr-2018","     9205.05","     9317.85","     9202.80","     9311.30","      992248779","        24749.63"
"17-Apr-2018","     9339.40","     9340.50","     9287.60","     9330.30","      970105657","        25011.82"
"18-Apr-2018","     9359.10","     9366.75","     9295.75","     9311.60","-","-"
"19-Apr-2018","     9345.65","     9360.80","     9328.50","     9356.40","     1153392214","        27734.93"
"20-Apr-2018","     9349.20","     9359.10","     9315.15","     9347.65","     1078176080","        30923.72"
"23-Apr-2018","     9366.80","     9410.90","     9324.00","     9373.40","      928298708","        28822.35"
"24-Apr-2018","     9375.95","     9403.40","     9359.05","     9390.40","     1208241050","        28653.96"
"25-Apr-2018","     9387.45","     9393.50","     9323.40","     9349.95","     1201785471","        29451.33"
"26-Apr-2018","     9368.75","     9388.85","     9339.65","     9381.35","     1494559481","        38829.21"
"27-Apr-2018","     9412.95","     9467.05","     9410.45","     9443.65","     1131764107","        31518.48"
"30-Apr-2018","     9464.00","     9503.60","     9463.20","     9496.50","     1032981038","        25970.93"
"02-May-2018","     9531.60","     9531.65","     9416.50","     9444.50","     1292908701","        32210.04"
"03-May-2018","     9442.10","     9442.20","     9355.05","     9388.65","     1251129941","        29433.26"
"04-May-2018","     9402.50","     9402.50","     9327.30","     9339.75","     1220621098","        27266.19"
"07-May-2018","     9371.70","     9424.40","     9353.30","     9418.80","     1043699556","        26376.34"
"08-May-2018","     9451.90","     9452.45","     9396.75","     9419.85","     1272518717","        32196.92"
"09-May-2018","     9401.20","     9443.15","     9399.45","     9418.90","     1021612292","        26655.09"
"10-May-2018","     9444.65","     9448.50","     9351.50","     9360.95","     1188186020","        26434.01"
"11-May-2018","     9385.80","     9421.35","     9356.00","     9416.35","     1113449757","        26350.61"
"14-May-2018","     9425.25","     9432.40","     9371.45","     9389.95","     1125971443","        25181.41"
"15-May-2018","     9391.10","     9490.80","     9341.20","     9365.90","     1318818731","        30604.51"
"16-May-2018","     9324.70","     9365.00","     9275.60","     9328.70","     1392165494","        27596.09"
"17-May-2018","     9359.15","     9360.15","     9290.30","     9304.45","     1766082583","        28702.74"
"18-May-2018","     9298.95","     9300.55","     9200.30","     9209.20","     1898459079","        30047.11"
"21-May-2018","     9221.10","     9224.95","     9099.85","     9108.70","     1438289744","        26329.71"
"22-May-2018","     9110.65","     9152.25","     9080.35","     9145.65","     1444778664","        27557.83"
"23-May-2018","     9136.65","     9151.80","     9059.35","     9069.80","     1183800630","        27777.34"
"24-May-2018","     9098.75","     9130.95","     9046.70","     9115.55","     1168275340","        26957.81"
"25-May-2018","     9135.05","     9230.70","     9126.60","     9215.55","     1183260078","        28698.24"
"28-May-2018","     9256.80","     9320.10","     9251.80","     9307.55","     1200767310","        27900.32"
"29-May-2018","     9309.95","     9337.25","     9250.50","     9270.60","     1249153905","        28132.83"
"30-May-2018","     9220.80","     9283.55","     9209.85","     9255.00","     1383564936","        28305.99"
"31-May-2018","     9299.40","     9333.65","     9249.20","     9315.35","     2394999965","        56884.44"
"01-Jun-2018","     9317.80","     9334.70","     9245.55","     9255.25","     1469064468","        27613.30"
"04-Jun-2018","     9308.30","     9310.90","     9167.95","     9175.90","     1070791784","        26780.78"
"05-Jun-2018","     9176.65","     9178.30","     9072.65","     9110.50","     1303737934","        25856.05"
"06-Jun-2018","     9114.20","     9214.30","     9096.00","     9205.90","     1333871897","        24766.94"
"07-Jun-2018","     9244.70","     9327.85","     9243.70","     9300.10","     1297032778","        25461.28"
"08-Jun-2018","     9275.20","     9324.70","     9254.30","     9316.25","     1104528886","        26125.54"
"11-Jun-2018","     9334.45","     9386.15","     9324.30","     9332.40","     1056190429","        24372.20"
"12-Jun-2018","     9355.65","     9394.90","     9338.30","     9386.45","     1048244700","        25338.50"
"13-Jun-2018","     9421.00","     9423.20","     9382.55","     9386.40","     1130235772","        27212.82"
"14-Jun-2018","     9372.30","     9372.55","     9322.50","     9356.65","      976718917","        24233.84"
"15-Jun-2018","     9358.35","     9376.65","     9303.25","     9343.70","     1205000833","        34222.87"
"18-Jun-2018","     9350.65","     9354.05","     9311.35","     9318.55","      910418781","        21071.55"
"19-Jun-2018","     9305.40","     9305.40","     9225.75","     9234.50","     1150583452","        24296.74"
"20-Jun-2018","     9255.00","     9286.65","     9239.05","     9276.40","     1024894441","        23026.58"
"21-Jun-2018","     9305.05","     9307.00","     9229.80","     9240.25","      938201786","        23470.29"
"22-Jun-2018","     9241.15","     9307.25","     9204.05","     9296.65","      940317493","        25079.26"
"25-Jun-2018","     9297.65","     9310.50","     9225.35","     9234.40","      929771591","        22889.40"
"26-Jun-2018","     9217.05","     9261.70","     9209.85","     9231.80","     1038102880","        24569.20"
"27-Jun-2018","     9246.50","     9246.50","     9110.25","     9129.25","     1220235336","        27114.85"
