"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Apr-2000","     1322.95","     1337.95","     1283.55","     1287.99","       69179064","         2734.45"
"04-Apr-2000","     1287.80","     1287.80","     1193.20","     1197.20","       58745239","         1227.95"
"05-Apr-2000","     1196.70","     1224.75","     1154.65","     1194.90","       63837485","         2510.88"
"06-Apr-2000","     1195.15","     1225.10","     1134.55","     1205.35","       61330829","         3119.09"
"07-Apr-2000","     1205.55","     1284.95","     1205.55","     1284.80","       59503476","         1532.42"
"10-Apr-2000","     1285.00","     1356.15","     1285.00","     1344.15","       72243277","         2007.37"
"11-Apr-2000","     1343.95","     1364.30","     1284.85","     1355.35","       73976908","         4727.99"
"12-Apr-2000","     1355.25","     1363.20","     1330.50","     1334.20","       65308305","         4404.92"
"13-Apr-2000","     1332.00","     1332.00","     1261.00","     1275.25","       43757171","         2893.16"
"17-Apr-2000","     1275.20","     1275.20","     1186.70","     1196.15","       54070198","         1274.39"
"18-Apr-2000","     1196.35","     1215.20","     1153.35","     1158.05","       59875708","         3263.66"
"19-Apr-2000","     1159.55","     1199.75","     1107.15","     1127.65","       62758982","         3395.55"
"20-Apr-2000","     1127.35","     1128.60","     1064.85","     1122.90","       59930089","         2895.68"
"24-Apr-2000","     1123.10","     1129.45","     1080.95","     1081.05","       59530642","         3115.74"
"25-Apr-2000","     1080.65","     1080.65","     1028.90","     1065.90","       64143325","         2043.15"
"26-Apr-2000","     1066.05","     1124.40","     1066.05","     1118.85","       64942759","         2429.52"
"27-Apr-2000","     1118.80","     1123.60","     1081.30","     1087.40","       82877909","         4336.89"
"28-Apr-2000","     1087.45","     1097.70","     1059.60","     1067.60","       59926746","         3334.60"
"02-May-2000","     1069.15","     1072.90","      990.70","      994.90","       69578436","         3088.26"
"03-May-2000","      993.65","      993.65","      928.70","      969.65","       66139017","         3111.42"
"04-May-2000","      969.65","     1023.35","      968.20","     1022.35","       58589830","         2872.61"
"05-May-2000","     1023.15","     1073.25","     1023.15","     1066.00","       69617558","         3342.26"
"08-May-2000","     1066.05","     1094.65","     1015.85","     1018.75","       67496000","         4652.16"
"09-May-2000","     1018.70","     1041.50","      985.65","     1040.30","       65599466","         3755.57"
"10-May-2000","     1042.40","     1048.70","     1011.15","     1014.25","       66292644","         4244.40"
"11-May-2000","     1014.15","     1014.15","      951.70","      962.75","       53354411","         3005.71"
"12-May-2000","      962.80","      974.10","      924.05","      926.40","       60742044","         3349.84"
"15-May-2000","      925.60","      952.70","      872.95","      935.75","       65261203","         3716.81"
"16-May-2000","      935.95","      945.75","      925.70","      938.75","       56024083","         2816.03"
"17-May-2000","      940.55","      975.15","      928.05","      937.25","       56752323","         3186.52"
"18-May-2000","      936.90","      939.45","      918.25","      927.65","       52020425","         2672.25"
"19-May-2000","      927.10","      927.10","      893.90","      906.75","       61735088","         3411.79"
"22-May-2000","      906.70","      906.70","      869.20","      869.95","       51743839","         2533.21"
"23-May-2000","      868.75","      872.85","      849.80","      871.40","       60361387","         2876.91"
"24-May-2000","      871.35","      882.85","      851.30","      876.20","       62986522","         3042.23"
"25-May-2000","      876.90","      900.25","      876.90","      884.60","       66278424","         3183.39"
"26-May-2000","      884.50","      890.70","      868.55","      888.35","       65181903","         3164.68"
"29-May-2000","      887.55","      915.25","      881.85","      908.65","       78026736","         3726.73"
"30-May-2000","      908.80","      941.60","      908.80","      941.30","       70538561","         3440.27"
"31-May-2000","      945.75","      991.35","      945.75","      967.60","       80625701","         3280.17"
"01-Jun-2000","      967.60","      967.60","      947.25","      949.10","       68465077","         4014.25"
"02-Jun-2000","      949.35","      985.65","      949.35","      979.00","       78678514","         4483.61"
"05-Jun-2000","      980.20","     1037.50","      980.20","     1001.30","       86427981","         4841.86"
"06-Jun-2000","     1001.40","     1021.35","      991.35","     1020.65","       65430156","         4318.05"
"07-Jun-2000","     1021.35","     1046.50","     1018.10","     1027.85","       78379993","         5735.79"
"08-Jun-2000","     1028.20","     1056.60","     1028.20","     1051.60","       78954621","         5111.02"
"09-Jun-2000","     1051.90","     1062.25","     1042.55","     1046.80","      101400951","         5944.61"
"12-Jun-2000","     1046.25","     1054.55","     1029.35","     1029.95","       69728539","         4009.92"
"13-Jun-2000","     1030.40","     1034.00","     1005.75","     1027.60","       80804616","         4636.88"
"14-Jun-2000","     1029.00","     1052.05","     1025.95","     1040.00","       79379188","         4951.93"
"15-Jun-2000","     1040.00","     1054.55","     1028.55","     1049.95","       65898482","         5308.83"
"16-Jun-2000","     1048.35","     1080.85","     1047.70","     1079.70","       85369098","         6212.65"
"19-Jun-2000","     1079.85","     1107.55","     1079.85","     1097.10","       84627325","         6261.22"
"20-Jun-2000","     1097.40","     1115.65","     1097.40","     1109.45","       82342035","         5973.70"
"21-Jun-2000","     1109.25","     1130.45","     1076.15","     1077.40","       86941466","         6505.71"
"22-Jun-2000","     1077.70","     1090.80","     1069.50","     1088.65","       80499571","         5381.09"
"23-Jun-2000","     1088.55","     1089.40","     1060.00","     1066.50","      105683365","         5965.72"
"26-Jun-2000","     1066.45","     1066.80","     1031.85","     1061.90","       65555870","         4187.67"
"27-Jun-2000","     1061.90","     1073.85","     1055.10","     1058.60","       79431653","         4871.35"
"28-Jun-2000","     1056.40","     1073.65","     1046.35","     1073.20","       62082466","         3968.53"
"29-Jun-2000","     1073.40","     1095.45","     1073.40","     1079.80","       81586014","         4926.44"
"30-Jun-2000","     1079.75","     1080.70","     1063.45","     1073.70","       78889280","         4809.47"
"03-Jul-2000","     1073.80","     1096.50","     1073.80","     1096.10","       70565720","         4645.67"
"04-Jul-2000","     1096.05","     1110.55","     1095.15","     1104.90","       74350838","         4815.50"
"05-Jul-2000","     1105.00","     1121.85","     1105.00","     1110.15","       89446787","         5145.55"
"06-Jul-2000","     1110.05","     1110.05","     1093.30","     1101.85","       71929686","         4310.67"
"07-Jul-2000","     1101.85","     1107.60","     1094.75","     1097.80","       69789160","         3903.43"
"10-Jul-2000","     1098.05","     1103.65","     1087.80","     1091.40","       68396312","         3540.41"
"11-Jul-2000","     1091.55","     1096.95","     1085.65","     1086.85","       81583312","         4265.31"
"12-Jul-2000","     1087.05","     1109.30","     1083.55","     1108.85","       81328511","         4851.04"
"13-Jul-2000","     1108.90","     1126.65","     1087.85","     1091.05","       86941658","         5738.51"
"14-Jul-2000","     1091.65","     1103.70","     1082.00","     1084.90","       87291239","         5976.47"
"17-Jul-2000","     1084.60","     1088.15","     1064.70","     1065.55","       73698983","         4661.76"
"18-Jul-2000","     1065.55","     1068.30","     1049.30","     1054.20","       77635378","         4545.00"
"19-Jul-2000","     1054.80","     1057.30","     1032.45","     1035.20","       70015120","         4350.00"
"20-Jul-2000","     1035.20","     1037.45","     1019.25","     1026.50","       75909269","         4218.14"
