"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2007","     3067.30","     3076.95","     2997.85","     3008.75","      184130609","         5921.24"
"03-Apr-2007","     3027.25","     3053.75","     3012.30","     3046.65","      179678411","         5752.71"
"04-Apr-2007","     3059.30","     3097.75","     3059.30","     3082.65","      200800713","         6061.30"
"05-Apr-2007","     3086.35","     3114.35","     3069.40","     3100.85","      195624823","         5434.01"
"09-Apr-2007","     3120.10","     3177.40","     3120.10","     3172.55","      184206990","         5048.66"
"10-Apr-2007","     3182.30","     3190.95","     3161.00","     3183.70","      222982662","         6711.48"
"11-Apr-2007","     3191.00","     3210.20","     3185.50","     3195.45","      231700550","         6484.09"
"12-Apr-2007","     3160.60","     3190.10","     3160.60","     3173.30","      176143815","         5497.89"
"13-Apr-2007","     3186.90","     3237.90","     3178.00","     3233.90","      211569630","         7034.34"
"16-Apr-2007","     3253.50","     3303.80","     3253.50","     3302.85","      223390434","         6679.34"
"17-Apr-2007","     3312.35","     3312.35","     3275.80","     3281.80","      221080092","         6978.48"
"18-Apr-2007","     3299.50","     3326.50","     3297.65","     3305.05","      206296522","         6081.57"
"19-Apr-2007","     3264.15","     3306.30","     3253.00","     3295.25","      198973519","         6036.01"
"20-Apr-2007","     3327.35","     3357.00","     3325.80","     3353.60","      229403124","         6949.64"
"23-Apr-2007","     3379.25","     3380.75","     3346.45","     3352.65","      225129383","         6163.85"
"24-Apr-2007","     3342.20","     3407.75","     3335.75","     3394.70","      266940402","         8993.49"
"25-Apr-2007","     3393.15","     3419.85","     3386.20","     3416.50","      285963855","         8636.16"
"26-Apr-2007","     3447.35","     3453.40","     3395.75","     3422.40","      301423955","         9513.98"
"27-Apr-2007","     3410.25","     3417.40","     3358.10","     3363.50","      212857728","         6337.74"
"30-Apr-2007","     3336.05","     3384.90","     3331.90","     3379.10","      187956194","         6018.44"
"03-May-2007","     3421.00","     3438.05","     3417.65","     3429.25","      260103758","         7456.42"
"04-May-2007","     3442.50","     3454.55","     3405.45","     3410.40","      278784732","         7243.96"
"07-May-2007","     3439.80","     3439.90","     3396.15","     3401.30","      238858691","         5967.83"
"08-May-2007","     3396.20","     3421.65","     3363.85","     3370.70","      219619476","         6567.88"
"09-May-2007","     3373.20","     3383.55","     3338.50","     3378.65","      217966243","         6273.90"
"10-May-2007","     3399.75","     3420.95","     3362.10","     3369.25","      270923319","         6937.25"
"11-May-2007","     3322.45","     3390.10","     3318.45","     3378.40","      260264391","         7030.60"
"14-May-2007","     3427.30","     3431.25","     3414.65","     3424.05","      311232666","         6229.98"
"15-May-2007","     3424.95","     3435.60","     3406.50","     3421.90","      306711989","         6784.37"
"16-May-2007","     3435.15","     3470.95","     3425.05","     3466.10","      342142039","         8431.80"
