Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Apr-2019,9703,9756.3,9683.95,9702,1581590493,35213.37
02-Apr-2019,9735.05,9735.05,9681.6,9720.8,1613306134,34557.44
03-Apr-2019,9742.35,9765.65,9647.2,9658.4,1471683876,35272.38
04-Apr-2019,9674,9675.2,9590.85,9626.65,1509400181,34272.31
05-Apr-2019,9659.65,9700.4,9641.45,9684.95,1256930002,28733.09
08-Apr-2019,9715.45,9719.95,9593.85,9634.4,1368193376,29359.89
09-Apr-2019,9641.9,9685.85,9594.95,9677.75,1197577979,28808.55
10-Apr-2019,9661.55,9690.35,9612.85,9622.95,1231430516,35536.91
11-Apr-2019,9630.15,9641.75,9599.2,9634.55,1176516005,27452.63
12-Apr-2019,9646.6,9682.3,9626.95,9674.6,1247836014,27288.81
15-Apr-2019,9697.65,9726.85,9683.8,9716.5,1287769280,28116.56
16-Apr-2019,9751.35,9796.1,9748.7,9781.4,1341665199,32585.52
18-Apr-2019,9826.45,9826.45,9721.4,9738.7,1438090949,34657.71
22-Apr-2019,9715.95,9715.95,9591.8,9599.8,1124113976,25665
23-Apr-2019,9614.85,9642.15,9577,9587.3,1233581473,28315.59
24-Apr-2019,9607.4,9696.55,9585.25,9687.55,1288201931,30507.72
25-Apr-2019,9697.8,9742.85,9616.3,9628.8,1654760954,43730.22
26-Apr-2019,9661.1,9695.4,9632.05,9689.7,1242303816,30594.33
30-Apr-2019,9684.8,9684.8,9592.15,9664.3,1598971958,37132.37
02-May-2019,9646.4,9694.95,9620.7,9637.5,1451787510,32502.76
03-May-2019,9637.5,9665.5,9613.6,9624.55,1194985189,27752.98
06-May-2019,9544.95,9567.4,9513.85,9532.45,1132430027,26630.09
07-May-2019,9573.3,9578.55,9441.5,9450.8,1293893456,29319.34
08-May-2019,9433.1,9433.45,9331.7,9340.25,1485441576,30450.6
09-May-2019,9313.55,9339.55,9261.5,9299.75,1332587410,28895.62
10-May-2019,9309.35,9335.15,9271.1,9290.2,1410355040,30364.43
13-May-2019,9274.05,9288.85,9143.95,9159.95,1448550879,28370.5
14-May-2019,9156,9261.85,9108.45,9212.35,1610461883,33618.66
15-May-2019,9247.15,9265.65,9145.8,9160.1,1354437542,30657.43
16-May-2019,9176.5,9238.95,9136.4,9221.65,1288215233,29252.22
17-May-2019,9224.75,9339.35,9221.6,9329.7,1401303801,34216.41
20-May-2019,9538.3,9681.1,9485.85,9671.9,1760816962,41799.17
