"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2013","     4449.35","     4471.20","     4441.40","     4465.60","      437234665","         6595.24"
"02-Apr-2013","     4460.90","     4511.20","     4459.35","     4508.80","      515164915","         8259.05"
"03-Apr-2013","     4504.00","     4515.30","     4442.05","     4457.20","      631450536","         9859.53"
"04-Apr-2013","     4433.20","     4433.40","     4373.25","     4378.65","      520184267","         8678.93"
"05-Apr-2013","     4373.60","     4386.50","     4353.35","     4366.65","      497281859","         9061.15"
"08-Apr-2013","     4365.65","     4381.30","     4358.50","     4361.15","      377216908","         6566.47"
"09-Apr-2013","     4379.15","     4404.00","     4319.15","     4323.40","      474927172","         8866.14"
"10-Apr-2013","     4349.10","     4370.45","     4305.00","     4366.45","      522235755","         9106.15"
"11-Apr-2013","     4393.65","     4397.80","     4353.70","     4388.05","      486208423","         9857.51"
"12-Apr-2013","     4343.65","     4362.85","     4335.60","     4352.75","      432386104","        10541.43"
"15-Apr-2013","     4338.55","     4395.70","     4335.65","     4376.05","      469185445","        10950.82"
"16-Apr-2013","     4368.65","     4463.60","     4368.65","     4457.55","      528401499","        10144.58"
"17-Apr-2013","     4471.20","     4496.25","     4449.90","     4461.75","      588553853","        12451.21"
"18-Apr-2013","     4457.70","     4532.65","     4457.70","     4526.80","      519364950","        11087.09"
"22-Apr-2013","     4531.75","     4581.05","     4531.75","     4574.40","      593373532","        10757.00"
"23-Apr-2013","     4581.05","     4581.05","     4540.60","     4572.40","      544324030","         9451.90"
"25-Apr-2013","     4586.15","     4628.25","     4586.15","     4624.30","      678171060","        14980.31"
"26-Apr-2013","     4615.95","     4620.65","     4583.95","     4591.65","      497774791","        10732.18"
"29-Apr-2013","     4595.55","     4628.15","     4593.00","     4620.90","      470178715","         9034.44"
"30-Apr-2013","     4640.05","     4658.35","     4595.20","     4641.75","      551857569","        11563.15"
"02-May-2013","     4630.40","     4706.40","     4630.40","     4695.05","      562600174","        12116.38"
"03-May-2013","     4692.10","     4696.60","     4651.05","     4659.10","      573313452","        11336.71"
"06-May-2013","     4659.55","     4688.30","     4652.25","     4685.60","      467999582","         8541.48"
"07-May-2013","     4694.70","     4741.60","     4694.70","     4737.55","      518889030","        10108.59"
"08-May-2013","     4751.70","     4760.85","     4725.25","     4754.45","      524008420","         9415.12"
"09-May-2013","     4760.00","     4764.00","     4731.10","     4737.70","      495415859","         9505.20"
"10-May-2013","     4735.60","     4774.40","     4735.60","     4769.20","      451334686","         9142.37"
"11-May-2013","     4765.10","     4783.80","     4765.10","     4779.75","       57038822","          836.97"
"13-May-2013","     4773.90","     4776.45","     4684.35","     4689.75","      425934801","         8009.17"
"14-May-2013","     4694.80","     4721.50","     4684.35","     4702.50","      407804938","         8449.30"
"15-May-2013","     4718.55","     4815.05","     4718.55","     4810.95","      617235740","        12256.21"
"16-May-2013","     4799.80","     4844.90","     4799.80","     4830.25","      596788586","        11929.27"
"17-May-2013","     4832.75","     4853.55","     4814.55","     4847.10","      600740997","        10898.96"
"20-May-2013","     4854.95","     4877.65","     4815.00","     4821.95","      517751037","        10155.65"
"21-May-2013","     4819.05","     4833.75","     4780.30","     4788.20","      485135923","         9638.97"
"22-May-2013","     4798.30","     4814.05","     4753.15","     4766.85","      478322366","        10255.58"
"23-May-2013","     4737.30","     4751.60","     4659.85","     4668.20","      620703121","        12940.27"
"24-May-2013","     4695.40","     4699.90","     4644.60","     4685.60","      485605889","        10349.34"
"27-May-2013","     4690.45","     4764.35","     4684.40","     4756.40","      387208816","         8871.24"
"28-May-2013","     4759.00","     4789.25","     4743.95","     4777.05","      440132376","         9517.70"
"29-May-2013","     4781.75","     4783.90","     4745.00","     4766.65","      457012678","         9091.83"
"30-May-2013","     4745.10","     4777.70","     4745.10","     4774.00","      623688138","        13342.16"
"31-May-2013","     4759.20","     4759.20","     4675.80","     4681.45","      634656843","        13305.22"
"03-Jun-2013","     4688.60","     4693.65","     4640.85","     4659.30","      452970666","         9295.83"
"04-Jun-2013","     4662.00","     4695.50","     4645.15","     4652.55","      444446995","         8986.94"
"05-Jun-2013","     4644.35","     4663.25","     4629.95","     4656.50","      442402779","         8029.44"
"06-Jun-2013","     4634.55","     4676.60","     4619.05","     4653.40","      458826906","         8681.32"
"07-Jun-2013","     4640.70","     4687.80","     4615.20","     4621.10","      459633378","         8558.64"
"10-Jun-2013","     4638.75","     4656.70","     4590.55","     4604.40","      479486471","         7854.23"
"11-Jun-2013","     4582.70","     4593.95","     4523.95","     4529.85","      603589439","        10781.76"
"12-Jun-2013","     4516.00","     4526.00","     4487.80","     4502.20","      540303914","        10710.23"
"13-Jun-2013","     4464.05","     4478.05","     4441.75","     4447.40","      504585345","         9602.01"
"14-Jun-2013","     4480.85","     4533.45","     4480.85","     4525.95","      473273514","         9051.66"
"17-Jun-2013","     4533.90","     4560.25","     4498.70","     4557.50","      430098635","         8110.65"
"18-Jun-2013","     4553.05","     4574.40","     4534.45","     4540.70","      470609443","         8354.82"
"19-Jun-2013","     4534.95","     4556.45","     4523.45","     4552.70","      441839326","         8272.44"
"20-Jun-2013","     4504.65","     4504.65","     4424.45","     4429.65","      522559010","        10586.03"
"21-Jun-2013","     4415.25","     4446.80","     4392.15","     4420.15","      606401247","        10951.32"
"24-Jun-2013","     4400.80","     4400.80","     4331.70","     4345.60","      532405519","         9709.74"
"25-Jun-2013","     4356.45","     4389.20","     4317.70","     4350.10","      630184264","        11079.17"
"26-Jun-2013","     4365.50","     4371.85","     4330.10","     4335.50","      509314919","         9406.63"
"27-Jun-2013","     4377.00","     4400.55","     4360.30","     4393.90","      677161821","        13649.64"
"28-Jun-2013","     4441.35","     4516.35","     4441.35","     4510.90","      610394037","        14042.68"
"01-Jul-2013","     4509.35","     4574.55","     4506.50","     4572.05","      550855369","         9764.39"
"02-Jul-2013","     4564.65","     4579.30","     4539.55","     4542.80","      501373283","         9416.40"
"03-Jul-2013","     4511.20","     4511.20","     4467.55","     4473.35","      515732397","         9214.14"
"04-Jul-2013","     4490.55","     4525.80","     4482.80","     4517.70","      609349860","         9830.15"
"05-Jul-2013","     4555.45","     4566.60","     4528.65","     4535.80","      426353502","         7821.32"
"08-Jul-2013","     4511.15","     4515.20","     4470.60","     4501.25","      465418161","         8580.87"
"09-Jul-2013","     4518.90","     4542.00","     4518.90","     4539.95","      467660444","         8706.23"
"10-Jul-2013","     4548.60","     4556.85","     4504.05","     4511.40","      449904083","         8581.54"
"11-Jul-2013","     4562.30","     4600.15","     4562.30","     4586.45","      430049554","         8261.06"
"12-Jul-2013","     4626.05","     4636.70","     4595.35","     4630.95","      416783633","        10001.67"
"15-Jul-2013","     4619.55","     4659.20","     4615.05","     4655.70","      491513328","         8214.17"
"16-Jul-2013","     4586.15","     4604.40","     4573.55","     4596.50","      549743024","         9991.87"
"17-Jul-2013","     4609.10","     4623.55","     4567.45","     4597.70","      641041143","        13312.94"
"18-Jul-2013","     4606.15","     4654.60","     4601.40","     4647.55","      529156560","        11951.54"
"19-Jul-2013","     4661.80","     4662.20","     4627.15","     4632.75","      498270797","        11839.98"
"22-Jul-2013","     4618.65","     4656.55","     4618.65","     4631.10","      393750884","         8401.21"
"23-Jul-2013","     4652.90","     4673.00","     4652.90","     4660.75","      446631853","         9295.43"
