"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2016","     6438.40","     6462.60","     6409.80","     6445.50","      818607041","        14441.15"
"04-Apr-2016","     6465.95","     6482.50","     6439.65","     6479.60","      621876670","        12324.29"
"05-Apr-2016","     6462.90","     6462.90","     6350.20","     6358.35","      737066788","        15162.79"
"06-Apr-2016","     6381.95","     6383.25","     6352.10","     6378.00","      666069200","        13368.84"
"07-Apr-2016","     6391.75","     6391.75","     6322.15","     6329.80","      764455853","        13787.47"
"08-Apr-2016","     6327.10","     6351.70","     6316.15","     6346.65","      585704239","        11725.24"
"11-Apr-2016","     6363.55","     6434.75","     6324.60","     6430.60","      638272700","        13694.46"
"12-Apr-2016","     6433.70","     6475.50","     6432.10","     6470.10","      620694120","        14487.18"
"13-Apr-2016","     6524.65","     6587.05","     6524.50","     6575.35","      785581950","        17701.12"
"18-Apr-2016","     6610.90","     6638.60","     6568.90","     6635.05","      687256280","        17541.24"
"20-Apr-2016","     6663.25","     6669.80","     6615.40","     6643.30","      887263461","        18885.16"
"21-Apr-2016","     6675.40","     6694.95","     6615.10","     6634.30","      786437102","        17273.47"
"22-Apr-2016","     6621.85","     6646.10","     6610.05","     6627.95","      664468356","        14171.02"
"25-Apr-2016","     6627.00","     6635.40","     6573.90","     6593.45","      601576100","        13589.81"
"26-Apr-2016","     6577.20","     6676.35","     6570.60","     6669.50","      709713904","        16982.13"
"27-Apr-2016","     6660.45","     6695.25","     6659.90","     6684.30","      734197287","        16376.69"
"28-Apr-2016","     6680.00","     6695.20","     6575.45","     6583.15","     1051801058","        24449.57"
"29-Apr-2016","     6583.55","     6616.85","     6533.85","     6588.55","      891960888","        17217.10"
"02-May-2016","     6569.55","     6587.05","     6548.95","     6580.15","      724856704","        13206.27"
"03-May-2016","     6597.15","     6642.85","     6527.85","     6533.55","      753295800","        17010.05"
"04-May-2016","     6515.65","     6529.10","     6477.90","     6484.35","      741045894","        15019.95"
"05-May-2016","     6503.15","     6532.55","     6479.60","     6500.05","      677829133","        15193.81"
"06-May-2016","     6488.45","     6508.55","     6463.70","     6504.55","      634203250","        12477.12"
"09-May-2016","     6525.55","     6608.10","     6525.55","     6603.25","      595298625","        14201.92"
"10-May-2016","     6610.40","     6626.10","     6586.10","     6617.25","      600060683","        13705.47"
"11-May-2016","     6549.65","     6625.35","     6533.60","     6593.00","      826509583","        16300.77"
"12-May-2016","     6611.90","     6646.05","     6603.30","     6640.90","      614270672","        14128.23"
"13-May-2016","     6628.45","     6634.95","     6566.70","     6582.30","      717776773","        17527.88"
"16-May-2016","     6595.55","     6616.70","     6548.95","     6608.25","      644805356","        13942.98"
"17-May-2016","     6638.00","     6666.60","     6622.50","     6629.70","      684260548","        16139.73"
