"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2001","      733.05","      741.20","      712.80","      739.60","       66200656","         1356.28"
"03-Apr-2001","      734.95","      751.00","      733.65","      747.50","       71897663","         1287.10"
"04-Apr-2001","      735.90","      740.65","      728.05","      738.20","       57561159","          967.39"
"06-Apr-2001","      753.75","      762.60","      732.70","      734.40","       72378872","         1417.92"
"09-Apr-2001","      733.40","      737.65","      724.85","      732.30","       54439325","         1014.77"
"10-Apr-2001","      733.10","      733.10","      708.10","      715.45","       73140395","         1335.97"
"11-Apr-2001","      721.90","      721.90","      682.30","      686.45","       72713736","         1465.22"
"12-Apr-2001","      682.25","      682.25","      645.70","      662.60","       85292382","         1607.44"
"16-Apr-2001","      660.55","      681.30","      651.80","      681.30","       79012507","         1273.40"
"17-Apr-2001","      677.50","      702.30","      677.25","      698.85","       92808377","         1597.44"
"18-Apr-2001","      699.70","      731.20","      699.70","      731.05","      101361429","         1818.12"
"19-Apr-2001","      750.00","      769.20","      736.90","      748.05","      124544804","         2588.07"
"20-Apr-2001","      758.30","      760.55","      740.50","      754.15","      104344142","         2192.48"
"23-Apr-2001","      752.60","      765.00","      750.30","      754.65","      105162351","         1953.61"
"24-Apr-2001","      750.65","      764.05","      745.85","      763.85","      110002843","         2004.00"
"25-Apr-2001","      765.05","      776.40","      761.50","      767.80","      124964900","         2411.82"
"26-Apr-2001","      777.35","      779.50","      757.65","      757.95","      121539636","         2262.83"
"27-Apr-2001","      735.70","      735.70","      715.55","      724.00","       91348240","         1714.91"
"30-Apr-2001","      725.75","      746.20","      722.25","      746.20","      115142922","         1951.10"
"02-May-2001","      756.75","      767.35","      752.40","      753.20","      105245896","         2148.55"
"03-May-2001","      754.80","      759.50","      745.70","      750.45","       85853593","         1936.08"
"04-May-2001","      744.70","      759.15","      744.70","      758.10","       95595615","         1899.63"
"07-May-2001","      764.60","      771.00","      763.60","      767.35","       93390323","         1879.07"
"08-May-2001","      768.00","      778.80","      767.95","      778.80","       98002670","         2057.02"
"09-May-2001","      781.55","      782.40","      766.40","      766.40","      109033386","         2383.12"
"10-May-2001","      766.05","      770.15","      761.05","      765.85","       86312903","         1991.72"
"11-May-2001","      764.40","      766.60","      757.95","      762.75","       82799229","         1677.86"
"14-May-2001","      761.55","      765.45","      756.50","      762.70","       72735966","         1421.27"
"15-May-2001","      761.75","      764.90","      731.70","      764.55","       91487904","         1810.85"
"16-May-2001","      766.90","      776.55","      766.90","      769.55","       98802801","         1883.48"
"17-May-2001","      775.55","      787.95","      775.55","      787.50","      107229786","         2133.71"
"18-May-2001","      789.50","      793.20","      784.00","      786.90","      104964168","         2045.12"
"21-May-2001","      787.60","      793.65","      785.30","      785.30","      104077324","         1855.06"
"22-May-2001","      790.65","      793.40","      788.00","      790.95","       94290684","         1845.73"
"23-May-2001","      790.90","      801.70","      790.90","      799.75","       96292207","         2029.92"
"24-May-2001","      798.40","      807.60","      797.20","      799.70","       97997697","         2208.66"
"25-May-2001","      803.20","      804.20","      793.00","      798.20","       99405136","         2010.45"
"28-May-2001","      799.35","      811.95","      798.85","      810.65","      106548467","         2091.56"
"29-May-2001","      812.40","      816.90","      812.40","      814.95","      120838098","         2141.15"
"30-May-2001","      816.05","      819.80","      795.65","      796.35","      115077072","         2389.15"
"31-May-2001","      790.35","      791.00","      779.30","      791.00","      110598812","         2294.84"
"01-Jun-2001","      791.95","      795.50","      778.25","      779.70","      113409637","         2185.45"
"04-Jun-2001","      781.95","      782.25","      759.05","      759.95","       88066673","         1761.23"
"05-Jun-2001","      758.25","      763.00","      746.40","      751.80","      107182097","         2106.06"
"06-Jun-2001","      755.55","      764.60","      754.10","      755.75","       84728390","         1635.25"
"07-Jun-2001","      755.50","      755.75","      739.20","      754.40","       98985267","         2062.68"
"08-Jun-2001","      755.20","      764.70","      754.90","      764.40","       99365244","         2136.22"
"11-Jun-2001","      764.20","      768.35","      760.05","      764.85","       75691759","         1727.14"
"12-Jun-2001","      762.05","      765.20","      758.45","      764.30","       88411277","         1806.36"
"13-Jun-2001","      766.30","      770.80","      765.35","      766.30","       80487087","         1663.62"
"14-Jun-2001","      763.90","      765.65","      752.90","      754.00","       90865752","         1991.09"
"15-Jun-2001","      748.60","      748.60","      733.80","      737.20","       99966765","         2265.94"
"18-Jun-2001","      733.10","      733.10","      717.05","      731.85","       87417848","         1842.65"
"19-Jun-2001","      730.90","      739.95","      726.85","      739.95","       98900177","         1896.55"
"20-Jun-2001","      740.70","      740.70","      730.40","      735.95","       70299511","         1417.80"
"21-Jun-2001","      736.35","      738.30","      730.50","      733.70","       80774884","         1705.35"
"22-Jun-2001","      733.95","      733.95","      719.90","      723.35","       83437259","         1539.91"
"25-Jun-2001","      717.10","      717.10","      698.30","      699.30","       79946146","         1567.75"
"26-Jun-2001","      694.60","      721.15","      692.15","      717.00","      109020685","         2207.90"
