"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2021","    12401.35","    12492.55","    12334.35","    12479.00","     2021172288","        54655.32"
"05-Apr-2021","    12463.70","    12466.25","    12149.40","    12298.60","     2057526125","        61651.48"
"06-Apr-2021","    12374.70","    12422.85","    12254.95","    12358.10","     1917914043","        61222.50"
"07-Apr-2021","    12389.25","    12510.70","    12347.70","    12481.30","     1911252584","        67793.48"
"08-Apr-2021","    12533.45","    12624.25","    12501.25","    12541.65","     2111913287","        66804.75"
"09-Apr-2021","    12552.90","    12591.95","    12490.00","    12527.40","     2069618262","        66230.36"
"12-Apr-2021","    12357.35","    12361.40","    11978.45","    12024.10","     2853601038","        79803.24"
"13-Apr-2021","    12068.05","    12201.55","    12006.70","    12186.70","     2257222951","        69260.28"
"15-Apr-2021","    12189.80","    12248.90","    12055.15","    12237.60","     2024986303","        67074.86"
"16-Apr-2021","    12261.90","    12358.55","    12232.40","    12298.05","     1810544991","        62695.56"
"19-Apr-2021","    12032.75","    12094.55","    11923.20","    12076.45","     1945295130","        63782.02"
"20-Apr-2021","    12213.55","    12232.85","    11981.35","    12055.40","     1777906078","        65408.94"
"22-Apr-2021","    11997.20","    12147.50","    11950.65","    12132.05","     1916024238","        65923.20"
"23-Apr-2021","    12086.20","    12199.40","    12044.90","    12105.60","     1930597068","        60796.55"
"26-Apr-2021","    12197.10","    12263.60","    12180.85","    12216.85","     1735708291","        59768.26"
"27-Apr-2021","    12238.55","    12374.00","    12232.80","    12362.55","     1877031126","        60504.30"
"28-Apr-2021","    12422.50","    12537.05","    12412.00","    12517.95","     1839783717","        68348.98"
"29-Apr-2021","    12613.80","    12659.40","    12471.90","    12532.80","     2168487693","        70290.87"
"30-Apr-2021","    12425.80","    12524.10","    12341.20","    12364.35","     2316126882","        74470.43"
"03-May-2021","    12256.85","    12419.00","    12210.55","    12395.25","     2256217808","        63640.27"
"04-May-2021","    12457.40","    12487.15","    12272.35","    12300.45","     3022137410","        70935.12"
"05-May-2021","    12394.85","    12426.95","    12319.25","    12413.00","     2181353931","        64500.97"
"06-May-2021","    12465.70","    12514.10","    12407.65","    12501.90","     2191078445","        66827.88"
"07-May-2021","    12579.90","    12600.15","    12527.35","    12563.10","     2435019294","        69579.21"
"10-May-2021","    12649.45","    12685.80","    12625.90","    12669.90","     2882079729","        70856.54"
"11-May-2021","    12559.95","    12675.20","    12538.65","    12642.25","     3564743840","        74642.65"
"12-May-2021","    12646.25","    12646.95","    12496.65","    12537.95","     4019085401","        78524.82"
"14-May-2021","    12595.15","    12595.35","    12408.10","    12472.15","     2899284653","        78785.73"
"17-May-2021","    12544.55","    12683.80","    12511.30","    12672.10","     2392678561","        70091.85"
"18-May-2021","    12794.95","    12855.60","    12783.15","    12839.10","     2405078400","        73238.28"
