Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Apr-2003,701.2,710.2,701.2,706.2,121286447,2296.14
02-Apr-2003,708.35,718.25,708.35,717.15,112432205,2262.92
03-Apr-2003,721.2,725.85,721.2,725.15,121001541,2318.05
04-Apr-2003,725,732.85,724.15,732,158945035,2522.76
07-Apr-2003,735.35,744.8,735.35,744,192352476,2625.45
08-Apr-2003,739.65,740.8,736.05,737.9,190207621,2294.17
09-Apr-2003,737.85,737.85,728.95,730.5,155447215,2269.49
10-Apr-2003,727.65,727.85,703.6,705.9,180605955,3718.52
11-Apr-2003,702.8,709.6,693.1,700.85,161731230,3732.88
15-Apr-2003,703.95,707.15,694.6,701.8,122648197,2534.08
16-Apr-2003,702,707.1,701.55,705.9,113275452,2326.41
17-Apr-2003,698.6,701.05,694.05,696.1,101415133,2011.38
21-Apr-2003,696.95,703,696.95,702.35,113494968,1822.91
22-Apr-2003,701.2,703.7,698.15,700.6,137104820,2209.3
23-Apr-2003,703.95,705.25,693.85,695.1,131536573,2209.5
24-Apr-2003,695.05,699,691.95,692.6,164157951,2924.96
25-Apr-2003,691.7,693.65,687.45,689.2,115678686,1955.41
28-Apr-2003,688.5,695.45,687.75,694.6,125240781,1756.92
29-Apr-2003,697.65,699.1,693.75,694.85,118428794,1788.49
30-Apr-2003,695.4,698.05,695.1,697.2,128888288,1785.52
02-May-2003,698.9,703.5,697.1,702.75,160334340,1962.42
05-May-2003,709.25,713.7,707.85,712.2,188445696,2277.58
06-May-2003,712.85,719.3,712.65,716.85,173979617,2676.72
07-May-2003,717.95,721.5,716.85,717.1,149098012,2407.44
08-May-2003,716.35,718.05,709.7,711.2,136816812,2466.11
09-May-2003,710.95,712,709,710.35,116549889,2012.06
12-May-2003,712.9,718.1,712.9,715.75,139614025,2148.34
13-May-2003,717.45,723.4,717.45,722.65,164917963,2354.67
14-May-2003,723.2,730.7,723.2,730.05,160967319,2137.09
15-May-2003,732.25,741.15,732.05,740.2,198895603,2139.82
16-May-2003,742.4,751,742.4,750.25,184006043,2310.22
19-May-2003,750.6,756.25,744.45,745.25,180562850,2482.4
20-May-2003,743.05,756.05,740.05,754.2,170062605,2405.67
21-May-2003,758.9,764.5,755.1,757.8,204265553,2657.82
22-May-2003,759.65,764.85,759.15,761.15,194236947,2361.55
23-May-2003,766.65,770.15,762.55,769.05,205815261,2631.09
26-May-2003,773.9,785.15,772.65,784.1,221470139,2452.08
27-May-2003,786.1,792,777.5,778.6,252813360,2748.64
28-May-2003,782.65,786.95,778.05,786.15,227789053,2793.74
29-May-2003,788.2,796.2,786.5,795.05,297318110,3367.98
30-May-2003,798.3,813.5,796.35,807.2,273564815,2967.47
02-Jun-2003,806.95,818.85,805.6,810.95,272431287,2789.98
03-Jun-2003,812,814.15,805.55,812.2,231570225,2485.14
04-Jun-2003,813.65,827.1,813.65,824.15,233921355,2615.2
05-Jun-2003,828.1,835.8,822.1,825.65,247783982,3172.64
06-Jun-2003,828.6,833.5,827.25,831.1,199261184,2774.39
09-Jun-2003,832.7,837.25,830.75,835.55,245568195,2551.48
10-Jun-2003,834.75,838.8,819,820.6,277442350,3009.72
11-Jun-2003,824.35,831.2,819.25,827.8,223770368,2543.07
12-Jun-2003,832.4,838.8,832.4,836.2,205789094,2341.28
13-Jun-2003,841.25,844.15,836.8,840.1,185893725,2542.67
16-Jun-2003,841.05,843.8,833.9,837.95,165648364,2241.3
17-Jun-2003,844.7,857.25,844.7,856.4,203880237,3061.33
18-Jun-2003,859.8,868.2,857.05,862,213489567,3118.33
19-Jun-2003,867.25,872.55,863.9,867.45,229077416,2871.54
20-Jun-2003,866.95,873.7,863.3,872.8,206006764,2875.44
23-Jun-2003,877.1,880.25,860.05,861.8,215981704,2593.58
24-Jun-2003,858.65,868.1,858.65,862.95,223759068,2589.25
25-Jun-2003,868,879.1,868,877,237519061,3044.65
26-Jun-2003,881.25,886.45,878,880,235487647,3700.97
27-Jun-2003,884.15,888.95,874.15,888.15,264971193,3668.11
30-Jun-2003,891.3,900.95,890.2,894.5,255817113,3218.69
01-Jul-2003,897.85,900.7,889.9,894,261066958,2873.2
02-Jul-2003,895.25,906.9,895.25,898.15,302710445,3184.94
03-Jul-2003,905.6,912.95,895,907.45,319353609,4197.18
04-Jul-2003,908.75,915.2,904.15,908.85,250665094,2754.77
07-Jul-2003,915.75,920,909.35,915.7,261138748,2669.6
08-Jul-2003,923.65,923.85,910.55,912.5,268601919,3022.83
09-Jul-2003,914.65,915.5,902.35,904.7,202033086,2430.99
10-Jul-2003,911.9,916.05,909.6,914.8,245624610,4032.86
11-Jul-2003,915.3,924.35,913.2,915.5,219658921,3444.53
