"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2002","      780.40","      788.50","      779.95","      786.10","       97379895","         1953.17"
"02-Apr-2002","      786.75","      793.00","      781.90","      783.90","      114623013","         2342.55"
"03-Apr-2002","      781.90","      782.65","      776.35","      777.55","      100693561","         1849.53"
"04-Apr-2002","      781.10","      793.35","      781.10","      791.70","      116670791","         2240.07"
"05-Apr-2002","      796.55","      798.35","      791.70","      792.80","      103987020","         1986.56"
"08-Apr-2002","      796.95","      798.40","      788.70","      789.50","      107638328","         1754.53"
"09-Apr-2002","      790.30","      792.20","      782.15","      785.90","      114701786","         2035.11"
"10-Apr-2002","      786.40","      794.10","      785.15","      793.30","      130765969","         3022.43"
"11-Apr-2002","      797.50","      802.95","      797.50","      799.20","      131990971","         3021.26"
"12-Apr-2002","      797.50","      804.95","      797.50","      801.60","      141356582","         2649.91"
"15-Apr-2002","      803.45","      805.10","      790.60","      792.65","      155941140","         2537.85"
"16-Apr-2002","      791.15","      793.05","      783.65","      784.70","      130868888","         2226.46"
"17-Apr-2002","      790.75","      795.50","      787.60","      788.70","      123031023","         2370.36"
"18-Apr-2002","      792.25","      797.00","      788.95","      792.15","      112515361","         2245.61"
"19-Apr-2002","      791.15","      791.35","      771.95","      773.45","      143139520","         2782.50"
"22-Apr-2002","      773.65","      776.20","      765.25","      774.30","      108659011","         2240.25"
"23-Apr-2002","      773.85","      779.00","      773.15","      776.75","      111122806","         2408.56"
"24-Apr-2002","      782.70","      783.00","      778.35","      780.95","      127680875","         2425.76"
"25-Apr-2002","      782.80","      783.05","      768.65","      771.20","      136304667","         2581.75"
"26-Apr-2002","      773.80","      778.00","      770.60","      772.45","      106525224","         2128.80"
"29-Apr-2002","      773.40","      773.40","      760.80","      761.65","      124034026","         2249.18"
"30-Apr-2002","      763.75","      772.00","      763.75","      771.30","      122761086","         2151.91"
"02-May-2002","      776.35","      782.35","      776.35","      778.20","      125610335","         2390.00"
"03-May-2002","      777.60","      780.25","      775.50","      778.75","      115228171","         1936.71"
"06-May-2002","      779.20","      784.25","      779.20","      783.80","      124349660","         1996.86"
"07-May-2002","      782.95","      789.70","      781.80","      789.25","      137334892","         2201.17"
"08-May-2002","      793.35","      796.85","      791.30","      792.65","      163247441","         2636.88"
"09-May-2002","      797.15","      803.80","      796.80","      799.55","      157350742","         2712.75"
"10-May-2002","      798.35","      799.00","      787.65","      790.95","      141564809","         2294.40"
"13-May-2002","      792.00","      795.90","      792.00","      793.80","      130129500","         2026.93"
"14-May-2002","      796.25","      797.85","      789.80","      791.55","      141091616","         2309.12"
"15-May-2002","      794.25","      794.90","      780.35","      783.10","      151480324","         2579.25"
"16-May-2002","      784.85","      785.05","      771.30","      774.20","      143702423","         2301.79"
"17-May-2002","      774.15","      777.20","      762.00","      770.05","      157329915","         2465.92"
"20-May-2002","      773.60","      773.60","      754.10","      756.50","      140685216","         2123.27"
"21-May-2002","      751.85","      751.85","      721.10","      734.95","      173750285","         2753.84"
"22-May-2002","      732.65","      740.30","      726.50","      737.10","      157832740","         2800.79"
"23-May-2002","      737.05","      738.90","      727.05","      728.60","      116171448","         2120.74"
"24-May-2002","      739.15","      762.20","      739.15","      760.95","      180591325","         2797.11"
"27-May-2002","      764.15","      769.60","      754.05","      762.75","      179302240","         2457.01"
"28-May-2002","      755.60","      758.05","      740.50","      742.10","      169669291","         2291.58"
"29-May-2002","      744.15","      750.05","      735.55","      747.50","      171665507","         2819.43"
"30-May-2002","      748.85","      756.85","      739.45","      741.50","      184649168","         2762.04"
"31-May-2002","      743.65","      743.65","      732.75","      739.55","      157102589","         2564.96"
"03-Jun-2002","      743.85","      754.85","      743.85","      751.10","      172852470","         2049.15"
"04-Jun-2002","      750.90","      759.05","      750.00","      758.40","      206675752","         1959.23"
"05-Jun-2002","      763.15","      772.85","      762.15","      770.65","      260949553","         2637.21"
"06-Jun-2002","      775.20","      776.45","      761.05","      767.80","      230693286","         2580.60"
"07-Jun-2002","      762.90","      762.90","      752.10","      754.60","      180524081","         2107.38"
"10-Jun-2002","      759.65","      772.40","      759.65","      770.45","      158780149","         1951.30"
"11-Jun-2002","      776.30","      793.95","      776.30","      792.65","      204027402","         2761.04"
"12-Jun-2002","      790.70","      797.25","      789.05","      792.70","      226774730","         2455.38"
"13-Jun-2002","      795.05","      800.20","      787.20","      788.40","      189279529","         2428.74"
"14-Jun-2002","      787.90","      792.80","      787.00","      790.75","      188991371","         2241.26"
"17-Jun-2002","      798.95","      799.55","      794.15","      794.90","      182745941","         1820.61"
"18-Jun-2002","      801.30","      801.30","      784.60","      785.45","      196240804","         2159.07"
"19-Jun-2002","      787.45","      790.85","      772.20","      775.20","      175089992","         2363.34"
"20-Jun-2002","      773.40","      781.20","      771.20","      779.20","      169924305","         2239.19"
"21-Jun-2002","      776.75","      780.10","      772.60","      774.45","      134731239","         1833.23"
"24-Jun-2002","      774.20","      775.80","      770.65","      773.40","      129708378","         1604.32"
"25-Jun-2002","      774.10","      776.00","      766.15","      770.15","      158662809","         2147.09"
"26-Jun-2002","      770.20","      770.20","      759.25","      759.95","      128508227","         1865.56"
"27-Jun-2002","      764.95","      768.85","      762.95","      766.50","      142716580","         2254.67"
"28-Jun-2002","      775.40","      775.50","      769.80","      772.85","      167069009","         1997.92"
"01-Jul-2002","      775.70","      784.70","      775.70","      783.70","      162372919","         1594.77"
"02-Jul-2002","      783.45","      786.10","      781.45","      782.45","      175805731","         1919.22"
"03-Jul-2002","      783.15","      788.00","      782.05","      784.60","      158429425","         2262.73"
"04-Jul-2002","      786.95","      791.50","      786.95","      788.60","      169214001","         2274.21"
"05-Jul-2002","      790.65","      793.95","      787.30","      791.10","      157958401","         2017.55"
"08-Jul-2002","      797.30","      800.45","      795.50","      796.60","      190426933","         2214.62"
"09-Jul-2002","      798.75","      799.75","      796.00","      796.60","      161260517","         1991.66"
"10-Jul-2002","      797.90","      800.40","      788.40","      789.10","      134419129","         2277.68"
"11-Jul-2002","      787.55","      787.85","      778.05","      779.20","      154496888","         2226.30"
"12-Jul-2002","      784.20","      788.35","      781.25","      784.25","      140887655","         2269.07"
"15-Jul-2002","      784.20","      784.95","      774.90","      781.50","      131948907","         1910.96"
"16-Jul-2002","      781.90","      783.00","      769.75","      770.70","      138056882","         2224.46"
"17-Jul-2002","      770.05","      773.20","      758.00","      762.95","      128339270","         1929.21"
"18-Jul-2002","      768.50","      775.25","      767.25","      773.65","      115795436","         1932.91"
"19-Jul-2002","      770.40","      773.50","      768.15","      769.10","      120587427","         1902.92"
"22-Jul-2002","      761.20","      761.20","      747.80","      749.25","      124348677","         1999.31"
"23-Jul-2002","      746.30","      759.90","      743.80","      758.50","      136569325","         2503.29"
"24-Jul-2002","      753.70","      755.50","      745.20","      745.80","      119993857","         2226.27"
"25-Jul-2002","      755.85","      758.35","      741.90","      744.05","      156708418","         3045.92"
"26-Jul-2002","      742.00","      742.00","      723.15","      724.35","      139838179","         2437.53"
"29-Jul-2002","      726.45","      727.95","      703.05","      717.20","      148990507","         2278.25"
"30-Jul-2002","      723.10","      727.85","      704.95","      707.45","      139682728","         2369.37"
"31-Jul-2002","      702.40","      710.65","      692.90","      706.65","      167881440","         2690.55"
"01-Aug-2002","      711.90","      715.55","      704.10","      706.85","      136364930","         2141.69"
"02-Aug-2002","      697.45","      709.70","      696.35","      708.05","      121705618","         2001.85"
"05-Aug-2002","      711.20","      715.45","      708.55","      713.70","      114692008","         1867.06"
"06-Aug-2002","      710.90","      717.75","      708.55","      716.60","      120486300","         1931.68"
"07-Aug-2002","      722.95","      726.35","      717.30","      718.80","      134763914","         2385.23"
"08-Aug-2002","      719.85","      719.85","      704.95","      706.05","      123660430","         1955.14"
"09-Aug-2002","      709.70","      712.10","      702.35","      711.10","      134670003","         2265.09"
"12-Aug-2002","      711.65","      717.65","      711.65","      716.95","      103328076","         1791.69"
"13-Aug-2002","      718.80","      722.80","      718.80","      721.85","       70741857","         1233.95"
"14-Aug-2002","      720.55","      723.30","      717.90","      720.80","       99069242","         1675.90"
"16-Aug-2002","      724.50","      727.50","      723.70","      726.35","       87681152","         1492.25"
"19-Aug-2002","      727.70","      731.95","      725.85","      728.25","       85385331","         1447.98"
"20-Aug-2002","      728.40","      736.10","      728.40","      734.55","      147201141","         2424.16"
"21-Aug-2002","      733.70","      739.70","      733.25","      735.65","      163639163","         2850.94"
"22-Aug-2002","      736.25","      738.10","      729.75","      730.80","      108491617","         2061.11"
"23-Aug-2002","      730.75","      735.60","      729.95","      734.95","      128165256","         3013.71"
"26-Aug-2002","      731.00","      740.30","      731.00","      738.45","      115240692","         2374.32"
"27-Aug-2002","      741.25","      743.50","      729.95","      730.95","      125938735","         2737.17"
"28-Aug-2002","      728.75","      731.55","      726.65","      730.25","      106415443","         2195.97"
"29-Aug-2002","      726.35","      729.95","      723.10","      725.80","      131752004","         2828.38"
"30-Aug-2002","      726.30","      738.35","      725.35","      737.15","      143582130","         2985.00"
"02-Sep-2002","      743.25","      745.65","      737.95","      739.50","      172100474","         2849.07"
"03-Sep-2002","      742.90","      744.60","      734.15","      735.65","      155281186","         2434.29"
"04-Sep-2002","      729.55","      739.55","      728.85","      738.80","      149680623","         2847.11"
"05-Sep-2002","      740.85","      743.00","      737.35","      739.75","      149239503","         3000.57"
"06-Sep-2002","      738.35","      738.80","      728.85","      730.95","      134824128","         2785.72"
"09-Sep-2002","      723.30","      724.00","      714.75","      721.20","      125767156","         2721.92"
"11-Sep-2002","      719.75","      724.05","      716.95","      719.35","      108394851","         2475.15"
"12-Sep-2002","      721.55","      724.65","      720.55","      722.30","      107997150","         2036.19"
"13-Sep-2002","      722.15","      723.35","      715.40","      716.45","       99186883","         1692.83"
"16-Sep-2002","      721.95","      721.95","      708.45","      709.70","      106408054","         1815.73"
"17-Sep-2002","      710.30","      715.10","      709.30","      713.65","      110515962","         2205.99"
"18-Sep-2002","      709.05","      711.20","      705.60","      706.75","      101933315","         2114.88"
"19-Sep-2002","      706.95","      706.95","      696.95","      700.95","      118702812","         2401.42"
"20-Sep-2002","      692.65","      700.90","      691.05","      698.85","      113949014","         2304.82"
"23-Sep-2002","      698.95","      703.45","      697.40","      698.25","       97342361","         2027.23"
"24-Sep-2002","      696.35","      696.50","      692.05","      695.05","       95838112","         1882.76"
"25-Sep-2002","      692.00","      698.65","      691.40","      697.80","      101842178","         2082.63"
"26-Sep-2002","      700.20","      701.60","      697.80","      698.25","       82247018","         1552.75"
"27-Sep-2002","      699.40","      702.35","      698.25","      701.65","      104564833","         2094.45"
"30-Sep-2002","      700.10","      700.10","      689.85","      691.00","       89396757","         1716.93"
"01-Oct-2002","      689.50","      692.60","      682.20","      685.25","      121759012","         2416.80"
"03-Oct-2002","      685.90","      688.25","      682.35","      683.45","      101095629","         2163.92"
"04-Oct-2002","      683.95","      686.25","      681.35","      683.40","      109866327","         2191.47"
"07-Oct-2002","      687.35","      694.85","      687.15","      693.75","      120843508","         2077.08"
"08-Oct-2002","      697.05","      699.35","      695.70","      697.70","      140539583","         2511.32"
"09-Oct-2002","      701.05","      703.40","      692.60","      693.40","      121894769","         2453.66"
"10-Oct-2002","      694.85","      697.90","      687.00","      696.50","      125171981","         3036.45"
"11-Oct-2002","      702.90","      709.10","      702.70","      707.75","      124882744","         2581.20"
"14-Oct-2002","      708.40","      708.70","      704.35","      706.55","      102963177","         2319.83"
"16-Oct-2002","      711.50","      711.50","      703.55","      704.80","      123420149","         2544.54"
"17-Oct-2002","      704.70","      705.90","      700.95","      704.95","      124732093","         2646.58"
"18-Oct-2002","      708.35","      715.20","      706.40","      708.10","      135475338","         2932.73"
"21-Oct-2002","      709.55","      709.75","      704.60","      705.45","       93954269","         1940.75"
"22-Oct-2002","      709.10","      709.10","      693.90","      694.70","      117310251","         2281.75"
"23-Oct-2002","      694.20","      695.30","      690.45","      691.10","      119450235","         2421.26"
"24-Oct-2002","      692.10","      693.10","      684.85","      685.50","      103547671","         2122.49"
"25-Oct-2002","      684.40","      684.55","      674.45","      676.30","      118781318","         2493.07"
"28-Oct-2002","      676.65","      678.15","      670.55","      671.55","       96941087","         1826.05"
"29-Oct-2002","      671.60","      682.15","      671.60","      681.25","      130128330","         2691.12"
"30-Oct-2002","      683.05","      687.90","      682.35","      683.85","      120124122","         2263.20"
"31-Oct-2002","      687.35","      693.30","      684.20","      691.95","      150719409","         3167.20"
"01-Nov-2002","      695.95","      697.50","      691.45","      695.20","      142061753","         2957.52"
"04-Nov-2002","      698.80","      701.35","      698.80","      700.70","       40477301","          792.00"
"05-Nov-2002","      699.95","      699.95","      695.80","      698.40","       86383477","         2074.72"
"07-Nov-2002","      698.35","      701.50","      696.20","      697.25","      115839551","         2699.38"
"08-Nov-2002","      693.80","      698.65","      693.80","      696.35","      101499806","         2026.21"
"11-Nov-2002","      696.75","      697.15","      692.70","      693.85","       94867773","         1746.75"
"12-Nov-2002","      693.80","      697.75","      693.20","      696.60","       86502953","         1920.28"
"13-Nov-2002","      698.35","      700.60","      695.75","      698.25","       96257770","         2168.13"
"14-Nov-2002","      700.10","      700.85","      696.80","      697.75","      117761765","         2864.83"
"15-Nov-2002","      702.90","      706.85","      702.75","      705.90","      130620993","         2995.66"
"18-Nov-2002","      707.05","      713.00","      707.05","      711.45","      120084467","         2778.24"
"20-Nov-2002","      710.15","      715.55","      709.15","      710.20","      133543929","         3427.02"
"21-Nov-2002","      714.05","      717.20","      711.30","      712.00","      130762289","         3105.02"
