"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2012","     4222.20","     4257.10","     4219.95","     4246.95","      503743720","         8595.47"
"03-Apr-2012","     4266.25","     4295.60","     4266.25","     4283.10","      545736907","         9658.13"
"04-Apr-2012","     4266.70","     4272.30","     4246.85","     4262.20","      474005445","         8057.28"
"09-Apr-2012","     4240.05","     4240.05","     4189.40","     4193.90","      421142474","         7079.61"
"10-Apr-2012","     4204.75","     4207.40","     4172.15","     4196.70","      544499391","         9812.03"
"11-Apr-2012","     4177.90","     4210.00","     4161.80","     4179.40","      547708958","        10200.30"
"12-Apr-2012","     4190.30","     4227.90","     4190.30","     4216.55","      526109098","         9779.28"
"13-Apr-2012","     4205.10","     4245.70","     4163.05","     4169.55","      545290521","        12559.05"
"16-Apr-2012","     4160.35","     4189.95","     4160.35","     4186.70","      409975982","         8242.85"
"17-Apr-2012","     4208.75","     4235.85","     4178.55","     4232.10","      570029045","        11861.72"
"18-Apr-2012","     4249.05","     4274.75","     4237.80","     4242.00","      588264673","        10192.61"
"19-Apr-2012","     4253.25","     4266.20","     4236.65","     4259.90","      479227399","         9188.08"
"20-Apr-2012","     4249.80","     4263.50","     4198.55","     4226.35","      492437064","         9160.34"
"23-Apr-2012","     4219.00","     4243.65","     4146.90","     4154.85","      478462550","         8581.72"
"24-Apr-2012","     4163.20","     4172.70","     4135.45","     4164.00","      473633296","        10701.12"
"25-Apr-2012","     4163.70","     4177.85","     4117.50","     4146.30","      505888144","         9870.61"
"26-Apr-2012","     4153.20","     4155.60","     4129.35","     4133.15","      659918753","        11712.25"
"27-Apr-2012","     4133.25","     4161.15","     4106.20","     4131.15","      506263558","         9394.95"
"28-Apr-2012","     4141.75","     4152.10","     4134.90","     4147.10","       62473382","          715.97"
"30-Apr-2012","     4143.15","     4186.40","     4143.15","     4178.35","      475005414","         8213.20"
"02-May-2012","     4182.00","     4203.30","     4163.80","     4171.30","      502767480","         8782.23"
"03-May-2012","     4155.75","     4155.75","     4123.05","     4128.65","      493909585","         9401.35"
"04-May-2012","     4116.50","     4118.90","     4039.45","     4050.85","      597236252","        10802.04"
"07-May-2012","     4012.30","     4081.65","     3973.75","     4074.95","      651524172","        11031.42"
"08-May-2012","     4075.40","     4085.55","     3979.85","     3992.55","      577271083","        10092.13"
"09-May-2012","     3974.65","     3999.65","     3952.45","     3963.70","      588707059","        10271.39"
"10-May-2012","     3968.85","     4012.05","     3948.55","     3959.60","      553177178","         9128.61"
"11-May-2012","     3944.65","     3961.70","     3910.55","     3928.25","      542643104","         8738.45"
"14-May-2012","     3931.35","     3946.05","     3884.30","     3906.90","      455023531","         8486.59"
"15-May-2012","     3885.65","     3938.90","     3884.55","     3932.90","      541123928","         9241.15"
"16-May-2012","     3895.15","     3895.15","     3854.10","     3871.40","      584494028","        10036.05"
"17-May-2012","     3882.75","     3923.70","     3866.10","     3879.15","      524424697","         9292.11"
"18-May-2012","     3837.95","     3899.65","     3818.25","     3889.05","      500221939","         9765.56"
"21-May-2012","     3887.70","     3926.85","     3887.70","     3904.45","      433177571","         7377.84"
"22-May-2012","     3931.60","     3940.05","     3863.25","     3869.80","      476708419","         8289.61"
"23-May-2012","     3859.95","     3859.95","     3828.40","     3848.80","      433357526","         7625.29"
"24-May-2012","     3864.25","     3911.25","     3844.20","     3904.85","      461200044","         8403.81"
"25-May-2012","     3896.35","     3921.10","     3887.75","     3910.60","      444201302","         7615.19"
"28-May-2012","     3917.15","     3966.30","     3917.15","     3961.05","      399591215","         6789.61"
"29-May-2012","     3972.05","     3983.55","     3955.80","     3961.10","      453672911","         7916.31"
"30-May-2012","     3946.65","     3946.65","     3920.55","     3923.85","      471669364","         8278.90"
"31-May-2012","     3893.70","     3923.10","     3878.95","     3913.05","      842093846","        15481.49"
"01-Jun-2012","     3905.70","     3915.75","     3845.85","     3851.95","      484442452","         8302.82"
"04-Jun-2012","     3827.30","     3857.15","     3793.45","     3850.80","      459134398","         8382.65"
"05-Jun-2012","     3862.65","     3888.40","     3851.75","     3862.55","      447160434","         7990.51"
"06-Jun-2012","     3875.55","     3967.40","     3875.55","     3959.00","      602996787","        11104.95"
"07-Jun-2012","     3980.40","     4000.35","     3967.00","     3996.50","      580798632","        10088.28"
"08-Jun-2012","     3993.35","     4019.80","     3959.30","     4010.95","      549524446","         9180.22"
"11-Jun-2012","     4026.95","     4054.05","     3989.80","     3998.05","      656209121","         9067.94"
"12-Jun-2012","     3976.55","     4047.55","     3976.55","     4040.90","      556574671","         9003.39"
"13-Jun-2012","     4041.90","     4062.20","     4030.40","     4043.75","      528829360","         9201.00"
"14-Jun-2012","     4034.75","     4049.30","     3987.95","     3992.25","      468519984","         7814.14"
"15-Jun-2012","     4000.50","     4052.50","     4000.50","     4047.45","      455327887","         8821.11"
"18-Jun-2012","     4067.05","     4085.20","     3976.40","     3991.35","      524167167","         9288.40"
"19-Jun-2012","     3983.20","     4022.60","     3976.15","     4016.45","      493997992","         8596.09"
"20-Jun-2012","     4022.40","     4049.55","     4020.80","     4037.80","      474343196","         8746.00"
"21-Jun-2012","     4024.85","     4076.45","     4022.00","     4074.20","      505309759","         9296.80"
"22-Jun-2012","     4038.90","     4072.25","     4025.70","     4063.75","      568178809","         9471.16"
"25-Jun-2012","     4070.75","     4103.40","     4040.15","     4044.75","      503704441","         8199.65"
"26-Jun-2012","     4040.80","     4060.45","     4034.35","     4053.20","      392914383","         7032.03"
"27-Jun-2012","     4069.30","     4081.15","     4060.40","     4069.85","      409173275","         7391.23"
"28-Jun-2012","     4073.80","     4083.65","     4056.90","     4075.05","      584221921","        10332.90"
"29-Jun-2012","     4098.60","     4174.20","     4098.60","     4170.65","      673563714","        12408.82"
"02-Jul-2012","     4173.60","     4196.15","     4165.85","     4180.90","      575671987","         8996.52"
"03-Jul-2012","     4192.35","     4212.45","     4181.85","     4196.70","      623018975","         9574.57"
"04-Jul-2012","     4209.15","     4217.55","     4190.45","     4213.05","      621674618","         9923.13"
"05-Jul-2012","     4210.10","     4240.90","     4206.15","     4236.95","      624179753","         9176.68"
"06-Jul-2012","     4235.55","     4235.55","     4207.55","     4224.15","      611810004","         8988.37"
"09-Jul-2012","     4205.60","     4209.00","     4171.30","     4184.15","      491699275","         7635.41"
"10-Jul-2012","     4190.45","     4237.00","     4190.45","     4235.80","      490435479","         8609.56"
"11-Jul-2012","     4219.05","     4234.75","     4208.40","     4210.65","      516688198","         9013.14"
"12-Jul-2012","     4173.90","     4179.75","     4149.85","     4164.60","      498609742","         9546.27"
"13-Jul-2012","     4168.85","     4189.85","     4152.80","     4156.75","      464482505","         8053.83"
"16-Jul-2012","     4159.65","     4171.00","     4130.80","     4134.75","      419703005","         7371.01"
"17-Jul-2012","     4151.90","     4161.70","     4117.10","     4123.05","      427449517","         7802.21"
"18-Jul-2012","     4126.30","     4143.35","     4102.65","     4139.75","      457297986","         8241.03"
"19-Jul-2012","     4158.50","     4170.10","     4152.30","     4157.30","      422994192","         8808.47"
"20-Jul-2012","     4152.00","     4154.40","     4127.30","     4134.75","      395139271","         7898.28"
"23-Jul-2012","     4111.30","     4111.30","     4060.30","     4069.05","      414732259","         7338.75"
"24-Jul-2012","     4074.95","     4086.20","     4057.65","     4079.30","      476095214","         8094.52"
"25-Jul-2012","     4073.65","     4073.65","     4040.10","     4062.40","      524962586","         8526.30"
"26-Jul-2012","     4071.70","     4072.30","     3996.35","     4003.60","      835678654","        12421.50"
"27-Jul-2012","     4048.90","     4080.35","     4015.10","     4028.25","      601534728","        10148.97"
"30-Jul-2012","     4044.95","     4107.75","     4044.95","     4104.10","      467855331","         8820.60"
"31-Jul-2012","     4112.55","     4130.60","     4072.35","     4126.45","      545318046","        10356.11"
"01-Aug-2012","     4121.90","     4144.60","     4118.45","     4141.85","      465947362","         8323.88"
"02-Aug-2012","     4137.65","     4140.55","     4125.00","     4138.90","      381772239","         6749.81"
"03-Aug-2012","     4121.00","     4132.65","     4094.75","     4129.05","      431029458","         8056.45"
"06-Aug-2012","     4154.25","     4184.65","     4154.25","     4172.45","      414634199","         7859.11"
"07-Aug-2012","     4179.65","     4217.05","     4174.90","     4206.15","      450958255","         9003.92"
"08-Aug-2012","     4211.00","     4230.00","     4196.40","     4201.60","      565559506","        10086.37"
"09-Aug-2012","     4207.40","     4222.00","     4181.95","     4190.15","      527472681","        10269.19"
"10-Aug-2012","     4181.95","     4192.40","     4169.05","     4186.95","      410009571","         9765.35"
"13-Aug-2012","     4184.75","     4216.50","     4184.50","     4213.25","      395315549","         8281.40"
"14-Aug-2012","     4210.40","     4239.10","     4201.90","     4234.50","      427051081","         8701.99"
"16-Aug-2012","     4237.70","     4242.35","     4218.45","     4222.65","      463293871","         9349.08"
"17-Aug-2012","     4225.90","     4252.30","     4206.50","     4223.70","      523987329","         9438.55"
"21-Aug-2012","     4225.05","     4259.90","     4225.05","     4257.95","      408789860","         8523.31"
"22-Aug-2012","     4243.80","     4266.20","     4243.80","     4249.65","      422628835","         8014.88"
"23-Aug-2012","     4256.80","     4274.05","     4233.40","     4248.05","      485159043","         9272.03"
"24-Aug-2012","     4235.35","     4235.85","     4213.10","     4226.00","      514539065","         8152.25"
"27-Aug-2012","     4226.65","     4235.40","     4193.20","     4194.95","      427829566","         6949.86"
"28-Aug-2012","     4193.70","     4199.90","     4155.10","     4176.35","      558661053","         8827.97"
"29-Aug-2012","     4181.45","     4181.45","     4139.45","     4143.60","      505168652","         8344.67"
"30-Aug-2012","     4132.95","     4173.15","     4119.10","     4162.95","      759196299","        13617.65"
"31-Aug-2012","     4153.60","     4162.50","     4115.45","     4129.90","      516436174","        10234.88"
"03-Sep-2012","     4140.00","     4157.45","     4120.80","     4128.10","      403623788","         7258.12"
"04-Sep-2012","     4125.60","     4149.95","     4118.40","     4148.30","      436488264","         7292.25"
"05-Sep-2012","     4131.60","     4140.70","     4110.90","     4115.35","      439525800","         8326.79"
"06-Sep-2012","     4110.80","     4142.10","     4110.80","     4125.95","      415232750","         7739.32"
"07-Sep-2012","     4165.40","     4198.10","     4165.40","     4195.75","      440360340","         9079.19"
"08-Sep-2012","     4196.60","     4215.30","     4196.60","     4210.90","       50298431","          799.92"
"10-Sep-2012","     4212.60","     4224.00","     4205.65","     4217.85","      370757497","         7320.99"
"11-Sep-2012","     4202.60","     4236.25","     4201.10","     4234.60","      421968029","         7339.95"
"12-Sep-2012","     4242.65","     4262.10","     4236.85","     4260.25","      466014137","         8484.11"
"13-Sep-2012","     4262.50","     4273.85","     4252.85","     4260.00","      449089797","         8208.74"
"14-Sep-2012","     4311.60","     4353.65","     4311.60","     4348.80","      668531652","        14025.61"
"17-Sep-2012","     4378.90","     4400.60","     4359.25","     4383.10","      892543719","        17385.05"
"18-Sep-2012","     4378.95","     4401.75","     4371.90","     4390.85","      770611322","        13063.00"
"20-Sep-2012","     4355.95","     4379.90","     4349.75","     4358.95","      641967181","        11657.62"
"21-Sep-2012","     4371.85","     4472.10","     4371.85","     4456.15","      970243180","        18150.66"
"24-Sep-2012","     4456.55","     4481.25","     4446.95","     4450.95","      922147590","        15292.64"
"25-Sep-2012","     4454.35","     4476.85","     4440.45","     4460.40","      949781271","        19113.14"
"26-Sep-2012","     4448.95","     4466.80","     4440.00","     4458.00","      744944605","        13274.03"
"27-Sep-2012","     4463.75","     4483.90","     4450.60","     4458.15","      981596223","        17939.50"
"28-Sep-2012","     4478.30","     4524.40","     4478.30","     4504.35","      684041797","        13143.07"
"01-Oct-2012","     4505.30","     4525.00","     4504.30","     4522.95","      528877774","         9574.30"
"03-Oct-2012","     4528.10","     4548.25","     4526.60","     4539.60","      665544681","        12946.51"
"04-Oct-2012","     4551.15","     4597.65","     4551.15","     4579.40","      864978565","        13680.82"
"05-Oct-2012","     4595.15","     4602.10","     4510.80","     4547.90","      854960348","        19039.45"
"08-Oct-2012","     4550.65","     4550.65","     4493.35","     4499.85","      600143347","        11058.16"
"09-Oct-2012","     4517.85","     4541.60","     4505.60","     4523.25","      594802462","        10202.49"
"10-Oct-2012","     4504.25","     4509.80","     4474.60","     4477.30","      597269532","         9650.34"
"11-Oct-2012","     4483.70","     4531.85","     4465.45","     4523.60","      740123800","        11936.30"
"12-Oct-2012","     4509.05","     4544.70","     4500.85","     4506.15","      666839440","        11784.54"
"15-Oct-2012","     4505.10","     4516.90","     4490.75","     4511.85","      449470420","         7984.05"
"16-Oct-2012","     4522.25","     4533.35","     4474.00","     4480.45","      539677588","         9884.03"
"17-Oct-2012","     4499.20","     4505.90","     4468.05","     4488.50","      570935280","         9796.18"
"18-Oct-2012","     4497.05","     4536.60","     4486.25","     4535.20","      600581539","        10854.06"
"19-Oct-2012","     4526.35","     4533.45","     4491.60","     4509.45","      536890880","         9834.41"
"22-Oct-2012","     4499.95","     4530.55","     4489.80","     4528.45","      424525200","         8586.61"
"23-Oct-2012","     4527.55","     4534.50","     4505.45","     4510.00","      455764615","         7561.87"
"25-Oct-2012","     4508.75","     4524.15","     4504.90","     4518.40","      677576045","        12821.59"
"26-Oct-2012","     4505.95","     4516.10","     4465.75","     4480.30","      558301681","         9055.38"
"29-Oct-2012","     4480.85","     4503.25","     4461.15","     4475.00","      436043613","         8635.84"
"30-Oct-2012","     4469.85","     4490.20","     4418.55","     4424.10","      531150507","         9878.45"
"31-Oct-2012","     4423.40","     4451.90","     4416.25","     4448.85","      512855384","         9324.12"
"01-Nov-2012","     4443.40","     4476.75","     4440.75","     4473.85","      477093972","         8928.88"
"02-Nov-2012","     4502.80","     4521.25","     4502.80","     4510.25","      513607042","         9420.49"
"05-Nov-2012","     4507.50","     4519.55","     4495.60","     4511.30","      379181147","         7025.67"
"06-Nov-2012","     4505.45","     4531.65","     4505.45","     4528.30","      462702841","         8772.46"
"07-Nov-2012","     4525.15","     4571.25","     4524.10","     4559.10","      579372815","        10292.33"
"08-Nov-2012","     4530.30","     4552.60","     4519.30","     4548.95","      555230684","        10267.69"
"09-Nov-2012","     4544.70","     4563.05","     4505.05","     4508.80","      550994441","        10134.37"
"12-Nov-2012","     4509.95","     4529.55","     4504.10","     4519.25","      532530363","        12244.19"
"13-Nov-2012","     4522.70","     4527.35","     4513.10","     4518.10","      193937920","         2657.91"
"15-Nov-2012","     4508.60","     4508.60","     4474.80","     4497.00","      698392497","        12592.12"
"16-Nov-2012","     4493.45","     4513.45","     4441.95","     4451.10","      614541692","        11081.69"
"19-Nov-2012","     4453.05","     4466.40","     4424.50","     4437.25","      482267910","         8489.98"
"20-Nov-2012","     4456.20","     4465.85","     4411.15","     4428.40","      537861641","         8884.40"
"21-Nov-2012","     4434.65","     4461.45","     4419.50","     4458.45","      477557759","         8685.41"
"22-Nov-2012","     4466.30","     4482.20","     4455.70","     4471.80","      439004499","         8068.58"
"23-Nov-2012","     4476.10","     4482.15","     4450.25","     4474.15","      438484762","         7847.68"
"26-Nov-2012","     4486.45","     4500.75","     4482.50","     4493.60","      507177857","         8611.81"
"27-Nov-2012","     4506.30","     4566.45","     4506.30","     4562.40","      688451837","        12526.25"
"29-Nov-2012","     4567.80","     4635.65","     4567.80","     4631.90","      954685422","        18291.13"
"30-Nov-2012","     4638.30","     4677.80","     4638.30","     4675.25","     1105441017","        19122.12"
"03-Dec-2012","     4674.55","     4695.10","     4670.75","     4685.05","      693913465","        11059.95"
"04-Dec-2012","     4682.80","     4705.75","     4677.40","     4701.45","      687084393","        11761.87"
"05-Dec-2012","     4711.40","     4726.15","     4707.05","     4712.10","      708413389","        12174.43"
"06-Dec-2012","     4726.65","     4746.80","     4675.15","     4740.20","      752757532","        12711.83"
"07-Dec-2012","     4742.10","     4758.05","     4712.30","     4724.25","      725274009","        12514.94"
"10-Dec-2012","     4729.30","     4737.55","     4715.95","     4731.90","      581711921","        10099.73"
"11-Dec-2012","     4740.40","     4771.80","     4689.65","     4716.25","      714761610","        13194.99"
"12-Dec-2012","     4727.00","     4735.25","     4700.00","     4709.85","      617782124","        12344.70"
"13-Dec-2012","     4716.85","     4724.35","     4667.15","     4674.05","      682370645","        13111.76"
"14-Dec-2012","     4671.55","     4701.75","     4667.00","     4698.80","      553144478","        10530.21"
"17-Dec-2012","     4688.20","     4710.60","     4688.20","     4693.95","      526954349","        10186.58"
"18-Dec-2012","     4702.70","     4731.90","     4670.90","     4727.85","      718276455","        13058.47"
"19-Dec-2012","     4739.65","     4761.30","     4739.65","     4755.30","      722870046","        13273.84"
"20-Dec-2012","     4757.75","     4757.75","     4720.05","     4746.40","      614105201","        11120.34"
"21-Dec-2012","     4730.35","     4730.35","     4683.10","     4686.90","      606761745","        11297.85"
"24-Dec-2012","     4698.75","     4705.00","     4687.60","     4695.00","      430363478","         7197.51"
"26-Dec-2012","     4700.25","     4739.75","     4700.25","     4731.60","      505056409","         7466.88"
"27-Dec-2012","     4745.50","     4746.90","     4702.15","     4706.35","      729772544","        12065.64"
"28-Dec-2012","     4716.05","     4742.55","     4715.10","     4738.30","      532670106","         8217.72"
"31-Dec-2012","     4734.35","     4748.65","     4734.35","     4743.45","      442325743","         6665.19"
